id,name,type,sport_type,start_date_local,distance,moving_time,elapsed_time,total_elevation_gain,elev_high,elev_low,average_speed,max_speed,average_heartrate,max_heartrate,average_cadence,average_watts,suffer_score,calories,start_latlng,end_latlng,achievement_count,kudos_count,trainer,commute,manual,gear_id,description,distance_km,moving_time_min,pace_min_km,pace_str
18554406158,Lunch Run,Run,Run,2026-05-17T12:24:32Z,1021.7,413,453,17.8,17.8,0.0,2.474,3.841,164.9,180.0,,3.9,9.0,,"51.541843,-0.055161","51.537372,-0.048904",0,0,0,0,0,g26095750,,1.0217,6.88,6.7371,6:44
18525937105,Morning Run,Run,Run,2026-05-16T09:06:25Z,5056.3,1940,1966,2.4,8.6,0.8,2.606,4.1,178.5,201.0,,172.1,78.0,,"51.478828,-0.160094","51.477614,-0.162949",2,7,0,0,0,g26095750,,5.0563,32.33,6.3947,6:23
18445145426,Morning Run,Run,Run,2026-05-09T10:09:05Z,7776.4,3352,3368,22.8,13.8,3.2,2.32,4.3,179.1,193.0,,150.5,138.0,,"51.476205,-0.156966","51.478072,-0.149178",4,2,0,0,0,g26095750,,7.7764,55.87,7.1841,7:11
18342508810,Morning Run,Run,Run,2026-05-02T09:09:01Z,5005.2,1705,1729,2.6,6.4,1.4,2.936,4.26,195.0,207.0,,192.3,108.0,,"51.478862,-0.160053","51.47791,-0.162949",31,8,0,0,0,g26095750,,5.0052,28.42,5.6774,5:40
18296899621,Evening Run,Run,Run,2026-04-28T19:07:27Z,10011.2,4016,4099,44.6,13.0,1.6,2.493,5.0,173.7,198.0,,163.2,135.0,,"51.47571,-0.156457","51.476719,-0.154506",16,5,0,0,0,g26095750,,10.0112,66.93,6.6858,6:41
18244293904,Pirrama Parkrun,Run,Run,2026-04-25T08:00:38Z,5027.8,1825,1847,2.4,6.0,-3.8,2.755,3.9,182.6,199.0,,180.9,87.0,,"-33.863599,151.19146","-33.864728,151.191539",18,7,0,0,0,g26095750,,5.0278,30.42,6.0497,6:02
18206823070,Lunch Run,Run,Run,2026-04-22T12:40:47Z,6262.2,3257,3425,178.0,38.4,4.8,1.923,4.16,167.0,188.0,,142.0,87.0,,"-33.920651,151.257391","-33.891798,151.274902",0,4,0,0,0,g26095750,,6.2622,54.28,8.6684,8:40
18206391102,Morning Run,Run,Run,2026-04-22T10:58:00Z,7116.3,3461,3656,180.8,38.6,7.0,2.056,3.56,166.6,191.0,,149.5,88.0,,"-33.890227,151.280639","-33.920705,151.257283",0,3,0,0,0,g26095750,,7.1163,57.68,8.1058,8:06
18179525152,Afternoon Run,Run,Run,2026-04-20T14:49:51Z,5031.2,1818,1902,45.2,18.8,5.4,2.767,5.54,170.8,197.0,,179.8,59.0,,"-43.533052,172.639262","-43.532631,172.619383",0,3,0,0,0,g26095750,,5.0312,30.3,6.0224,6:01
18112665570,Lunch Run,Run,Run,2026-04-15T11:21:26Z,11565.8,5239,5734,132.2,359.2,312.8,2.208,3.387,172.6,188.0,,149.7,168.0,,"-45.033827,168.661887","-45.03087,168.660575",0,2,0,0,0,g26095750,,11.5658,87.32,7.5496,7:32
18100597268,Afternoon Run,Run,Run,2026-04-14T17:48:48Z,6286.5,3085,3172,87.6,351.8,309.8,2.038,3.66,160.0,178.0,,139.3,61.0,,"-45.025822,168.660971","-45.032787,168.660147",0,1,0,0,0,g26095750,,6.2865,51.42,8.1789,8:10
18086934014,Afternoon Walk,Walk,Walk,2026-04-13T14:42:05Z,3129.5,2133,2226,66.0,343.7,281.8,1.467,5.588,117.6,152.0,,,6.0,,"-44.695997,169.133295","-44.701271,169.099936",0,0,0,0,0,,,3.1295,35.55,11.3596,11:21
18085784588,Morning Run,Run,Run,2026-04-13T10:04:50Z,3198.5,1299,1383,19.6,339.8,279.4,2.462,3.54,167.1,186.0,,156.1,34.0,,"-44.699023,169.102122","-44.695927,169.137586",0,2,0,0,0,g26095750,,3.1985,21.65,6.7688,6:46
18084858585,Lunch Walk,Walk,Walk,2026-04-12T11:26:25Z,4138.2,2616,4090,113.8,147.4,0.0,1.582,21.03,109.9,163.0,,,7.0,,"-43.445806,169.969864","-43.446517,169.970092",0,2,0,0,0,,,4.1382,43.6,10.536,10:32
18049929906,Afternoon Run,Run,Run,2026-04-10T17:46:27Z,5013.6,2120,2126,12.0,11.4,3.2,2.365,3.95,168.2,186.0,,155.3,58.0,,"-42.442759,171.19321","-42.443187,171.195613",0,1,0,0,0,g26095750,,5.0136,35.33,7.0475,7:02
18021927409,Afternoon Run,Run,Run,2026-04-08T13:44:57Z,5722.2,3380,3438,95.6,34.8,4.0,1.693,3.4,164.4,194.0,,121.9,71.0,,"-41.036145,173.01799","-41.036057,173.017447",2,3,0,0,0,g26095750,,5.7222,56.33,9.8447,9:50
18021927261,Afternoon Ride,Ride,Ride,2026-04-04T14:20:42Z,4342.0,1675,1723,15.4,10.8,-2.2,2.592,4.26,106.3,153.0,,29.8,4.0,,"-41.291602,174.786502","-41.29062,174.785251",0,0,0,0,0,,,4.342,27.92,6.4294,6:25
17944769670,Bday run,Run,Run,2026-04-02T12:32:38Z,10009.0,5045,5229,22.0,363.2,357.8,1.984,3.08,175.4,191.0,,134.4,173.0,,"-38.699907,176.08449","-38.702313,176.085777",0,4,0,0,0,g26095750,,10.009,84.08,8.4008,8:24
17916773334,@Pilates,Workout,Pilates,2026-03-30T20:00:49Z,0.0,2100,2100,0,,,0.0,0,,,,,,,,,0,1,0,0,1,,,,35.0,,
